忠犬八公的故事,9.3,美国,剧情,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
教父,9.3,美国,剧情,https://movie.douban.com/subject/1291841/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
乱世佳人,9.3,美国,剧情,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
城市之光,9.3,美国,剧情,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
博弈论,9.3,美国,剧情,https://movie.douban.com/subject/3272459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254959230.jpg
楚门的世界,9.2,美国,剧情,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
星际穿越,9.2,美国,剧情,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
指环王3：王者无敌,9.2,美国,剧情,https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
教父2,9.2,美国,剧情,https://movie.douban.com/subject/1299131/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
摩登时代,9.2,美国,剧情,https://movie.douban.com/subject/1294371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg
超感猎杀：完结特别篇,9.2,美国,剧情,https://movie.douban.com/subject/27040774/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg
生活多美好,9.2,美国,剧情,https://movie.douban.com/subject/1293749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg
史努比，回家吧,9.2,美国,剧情,https://movie.douban.com/subject/1297777/,https://img1.doubanio.com/view/subject/l/public/s1788447.jpg
蝙蝠侠：黑暗骑士,9.1,美国,剧情,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
飞越疯人院,9.1,美国,剧情,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
饮食男女,9.1,美国,剧情,https://movie.douban.com/subject/1291818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
美国往事,9.1,美国,剧情,https://movie.douban.com/subject/1292262/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
完美的世界,9.1,美国,剧情,https://movie.douban.com/subject/1300992/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
寻子遇仙记,9.1,美国,剧情,https://movie.douban.com/subject/1293270/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1684763607.jpg
鳄鱼波鞋走天涯,9.1,美国,剧情,https://movie.douban.com/subject/1301811/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg
熊的故事,9.1,美国,剧情,https://movie.douban.com/subject/1300334/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454268056.jpg
丛林赤子心,9.1,美国,剧情,https://movie.douban.com/subject/1473562/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2321248846.jpg
纽伦堡的审判,9.1,美国,剧情,https://movie.douban.com/subject/1292589/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg
平常心,9.1,美国,剧情,https://movie.douban.com/subject/30234265/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2523361498.jpg
欲望都市：告别,9.1,美国,剧情,https://movie.douban.com/subject/5226309/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2500588479.jpg
人鼠之间,9.1,美国,剧情,https://movie.douban.com/subject/26431592/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2252276881.jpg
难舍难分,9.1,美国,剧情,https://movie.douban.com/subject/3840029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206663461.jpg
何以为家,9.0,美国,剧情,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
怦然心动,9.0,美国,剧情,https://movie.douban.com/subject/3319755/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg
当幸福来敲门,9.0,美国,剧情,https://movie.douban.com/subject/1849031/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg
飞屋环游记,9.0,美国,剧情,https://movie.douban.com/subject/2129039/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
少年派的奇幻漂流,9.0,美国,剧情,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
罗马假日,9.0,美国,剧情,https://movie.douban.com/subject/1293839/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
指环王1：魔戒再现,9.0,美国,剧情,https://movie.douban.com/subject/1291571/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
指环王2：双塔奇兵,9.0,美国,剧情,https://movie.douban.com/subject/1291572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
音乐之声,9.0,美国,剧情,https://movie.douban.com/subject/1294408/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
美丽心灵,9.0,美国,剧情,https://movie.douban.com/subject/1306029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
闻香识女人,9.0,美国,剧情,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
拯救大兵瑞恩,9.0,美国,剧情,https://movie.douban.com/subject/1292849/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
搏击俱乐部,9.0,美国,剧情,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
死亡诗社,9.0,美国,剧情,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg
穿条纹睡衣的男孩,9.0,美国,剧情,https://movie.douban.com/subject/3008247/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
大独裁者,9.0,美国,剧情,https://movie.douban.com/subject/1295646/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1960167314.jpg
光荣之路,9.0,美国,剧情,https://movie.douban.com/subject/1292969/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p955392372.jpg
将军号,9.0,美国,剧情,https://movie.douban.com/subject/1292778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
海蒂,9.0,美国,剧情,https://movie.douban.com/subject/1925081/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2270779943.jpg
金色池塘,9.0,美国,剧情,https://movie.douban.com/subject/5135239/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507466255.jpg
街头友爱之情,9.0,美国,剧情,https://movie.douban.com/subject/2255927/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2550743162.jpg
